CODE,LOCATIONNAME,PRICE,AREA,ROOMNUMBER,BATHNUMBER,STATUS,STUDIO,ISPENTHOUSE,DUPLEX,SWIMMINGPOOL,ELEVATOR,X,Y
9223372036854775807,Pacífico,186000,65,2,1,Second hand / Good state,0,0,0,0,1,442170,4473063
9223372036854775807,Butarque,218000,115,3,2,Second hand / Unknown,0,0,0,1,1,442440,4465620
8360197139127180665,Casco Histórico de Vallecas,133000,70,3,1,Second hand / Needs reformation,0,0,0,0,0,446955,4469955
9223372036854775807,Canillas,155000,50,1,1,Second hand / Good state,0,0,0,0,1,446672,4479556
9223372036854775807,Lavapiés-Embajadores,209000,85,3,1,Second hand / Good state,0,0,0,0,1,440583,4473525
7936539956731273651,Castellana,353000,80,4,1,Second hand / Needs reformation,0,0,0,0,1,442136,4475945
9223372036854775807,Peñagrande,835000,150,3,2,New development,0,0,1,1,1,437824,4480607
9223372036854775807,San Diego,130000,70,3,1,Second hand / Good state,0,0,0,0,0,443455,4471104
4521763805520394021,Valdebebas - Valdefuentes,475000,140,4,2,Second hand / Good state,0,0,0,1,1,448027,4482190
9223372036854775807,Pinar del Rey,224000,90,3,1,Second hand / Good state,0,0,0,0,1,446147,4480527
5106416841196008782,Lista,1257000,160,3,3,Second hand / Good state,0,0,0,0,1,442622,4475543
3539341687570435644,Pinar del Rey,257000,85,3,2,Second hand / Good state,0,0,0,0,0,444596,4480654
9223372036854775807,Mirasierra,1317000,245,4,4,Second hand / Unknown,0,0,0,1,1,439556,4482669
7993278209893122203,Gaztambide,362000,80,2,1,Second hand / Good state,0,0,0,0,1,439584,4476320
7515436890428629147,Comillas,226000,105,3,2,Second hand / Good state,0,0,0,0,1,439385,4471869
6954986485222981782,Almagro,1234000,170,3,2,Second hand / Good state,0,0,0,0,1,441228,4475345
8317444644508207211,Montecarmelo,560000,140,3,2,New development,0,0,0,0,1,441934,4484082
9223372036854775807,Ensanche de Vallecas - La Gavia,110000,80,0,1,Second hand / Good state,1,0,0,1,1,450443,4468453
8448811212986854708,Cuatro Caminos,261000,75,1,1,Second hand / Good state,0,0,0,0,1,440496,4478172
1735027778693901583,Lavapiés-Embajadores,436000,80,3,2,Second hand / Good state,0,0,0,0,0,440117,4473243
9223372036854775807,Arapiles,1486000,190,2,3,Second hand / Good state,0,0,0,0,1,439974,4475705
9223372036854775807,Pueblo Nuevo,191000,65,2,1,Second hand / Good state,0,0,0,0,0,445566,4476286
9223372036854775807,Buena Vista,94000,70,3,1,Second hand / Needs reformation,0,0,0,0,0,435983,4469451
9223372036854775807,Adelfas,377000,110,4,2,Second hand / Needs reformation,0,0,0,0,1,443257,4473063
9223372036854775807,Costillares,342000,60,2,2,Second hand / Good state,0,0,0,1,1,443309,4479947
6069177679396402011,Ibiza,809000,120,3,2,Second hand / Good state,0,1,0,0,1,442888,4474772
9223372036854775807,Timón,368000,95,2,2,New development,0,0,0,1,1,450283,4480270
4726950795957306004,Puerta del Ángel,69000,55,3,1,Second hand / Needs reformation,0,0,0,0,0,437993,4473451
6185538282308343058,San Andrés,106000,40,1,1,Second hand / Good state,0,0,0,0,1,439932,4466461
9223372036854775807,Rosas,245000,85,3,2,Second hand / Unknown,0,0,0,0,1,448457,4475574
9223372036854775807,Guindalera,660000,150,2,2,Second hand / Good state,0,0,0,1,1,443895,4476154
4333398388578377416,Timón,243000,85,2,2,New development,0,0,0,1,1,450553,4480367
605955535392397502,Lavapiés-Embajadores,236000,55,2,1,Second hand / Good state,0,0,0,0,0,440781,4473427
9223372036854775807,Berruguete,251000,65,2,2,Second hand / Good state,0,0,0,0,1,440056,4479287
9223372036854775807,Chueca-Justicia,1739000,270,4,4,Second hand / Needs reformation,0,0,0,0,1,440942,4474673
9223372036854775807,Delicias,278000,100,3,1,Second hand / Needs reformation,0,0,0,0,1,441181,4472107
9223372036854775807,Abrantes,162000,80,2,1,Second hand / Good state,0,0,0,0,0,438155,4470606
9223372036854775807,Palos de Moguer,213000,50,2,1,Second hand / Needs reformation,0,0,0,0,0,441123,4472908
9223372036854775807,Valdezarza,223000,55,2,1,Second hand / Good state,0,0,0,0,1,439694,4479138
4111788581301410919,Berruguete,124000,40,0,1,Second hand / Good state,1,0,0,0,0,439925,4478838
2260704579746794709,Arapiles,1235000,250,3,2,Second hand / Good state,0,0,0,1,1,439836,4475961
9223372036854775807,Rejas,207000,90,2,1,Second hand / Good state,0,1,0,0,1,449483,4477682
3659368525044346167,Chueca-Justicia,312000,55,1,1,Second hand / Good state,0,0,0,0,0,440547,4475016
2424633540868410535,Huertas-Cortes,299000,80,1,1,Second hand / Good state,0,0,1,0,0,440316,4473945
9223372036854775807,Buena Vista,239000,95,3,2,New development,0,0,0,0,1,436310,4469461
9223372036854775807,Atalaya,428000,105,3,2,Second hand / Good state,0,0,0,1,1,443512,4479539
2979576542774979405,San Diego,136000,150,3,2,Second hand / Good state,0,0,0,0,0,443264,4471829
2316089974002221875,Argüelles,238000,45,1,1,Second hand / Good state,0,0,0,0,1,438728,4475813
9223372036854775807,Lavapiés-Embajadores,209000,60,1,1,Second hand / Good state,0,0,0,0,0,439913,4473065
9223372036854775807,Pinar del Rey,168000,55,2,1,Second hand / Good state,0,0,0,0,0,444839,4480378
9223372036854775807,Argüelles,885000,255,9,3,Second hand / Needs reformation,0,0,0,0,1,439310,4475238
7007535812980000228,Nueva España,625000,130,2,1,Second hand / Good state,0,0,0,0,1,442261,4478941
3725618712321036308,Lavapiés-Embajadores,121000,20,1,1,Second hand / Good state,0,0,0,0,0,440694,4473553
1629002094554457478,Pacífico,425000,60,2,1,Second hand / Needs reformation,0,1,0,0,1,442454,4473119
9223372036854775807,Lista,777000,115,2,2,Second hand / Good state,0,0,0,0,1,442505,4476295
860002731997003904,Recoletos,664000,90,2,1,Second hand / Needs reformation,0,0,0,0,1,442244,4474940
9223372036854775807,Costillares,204000,50,0,1,Second hand / Good state,1,0,0,1,1,443759,4481342
9223372036854775807,Malasaña-Universidad,395000,45,1,1,Second hand / Good state,0,0,0,0,1,440091,4474736
9223372036854775807,Ventas,123000,80,2,1,Second hand / Needs reformation,0,0,0,0,0,445015,4475624
1401207385805461686,Santa Eugenia,246000,110,3,2,Second hand / Good state,0,0,0,0,1,447694,4470495
9223372036854775807,Cuzco-Castillejos,278000,75,3,1,Second hand / Good state,0,0,0,0,1,441081,4479211
50378311001886418,Cuatro Caminos,286000,80,3,1,Second hand / Needs reformation,0,0,0,0,1,440928,4478404
9223372036854775807,Lavapiés-Embajadores,479000,95,3,2,New development,0,0,0,0,1,440682,4473256
6450696808716736365,Costillares,1211000,270,5,5,Second hand / Good state,0,0,0,1,1,443488,4480407
9223372036854775807,Valdeacederas,156000,55,2,1,Second hand / Good state,0,0,0,0,0,440581,4479787
5267319769057694485,San Juan Bautista,785000,165,4,3,Second hand / Needs reformation,0,0,0,1,1,444149,4478300
9223372036854775807,Legazpi,288000,65,1,1,Second hand / Good state,0,0,0,0,1,441138,4470968
9223372036854775807,Cuatro Caminos,1383000,315,5,4,Second hand / Good state,0,0,0,0,1,440977,4477770
6985254588157352492,Moscardó,278000,90,2,1,Second hand / Good state,0,0,0,0,1,440531,4471144
9223372036854775807,San Cristóbal,67000,75,3,1,Second hand / Unknown,0,0,0,0,0,441894,4466176
8711558655200176687,Vista Alegre,154000,70,3,1,Second hand / Good state,0,0,0,0,0,436933,4471385
6242067501891478668,Buena Vista,140000,80,3,1,Second hand / Needs reformation,0,0,0,0,1,436570,4469316
2830899988839253095,Pueblo Nuevo,225000,80,2,2,Second hand / Good state,0,0,0,0,1,445615,4475398
241722326779025506,Casco Histórico de Vallecas,109000,65,2,1,Second hand / Good state,0,0,0,0,0,446987,4470031
3718521615870609892,Pueblo Nuevo,140000,80,3,1,Second hand / Needs reformation,0,0,0,0,0,445224,4475599
3978162373208797921,Guindalera,293000,70,2,1,Second hand / Good state,0,0,0,0,0,443512,4476605
191580489415844313,Prosperidad,387000,70,2,2,Second hand / Good state,0,0,0,0,1,442885,4476807
9223372036854775807,Trafalgar,415000,80,2,1,Second hand / Good state,0,0,0,0,1,440639,4475925
1913168285761843838,Nueva España,833000,140,3,3,Second hand / Good state,0,0,0,0,1,441645,4479188
1496688154819699815,Vinateros,173000,65,3,1,Second hand / Good state,0,0,0,0,1,445075,4473091
8740577912483292116,Acacias,453000,90,2,2,Second hand / Good state,0,0,0,1,1,439869,4472633
6237307101211566963,Moscardó,111000,145,4,2,Second hand / Good state,0,0,0,0,1,440368,4470958
9223372036854775807,Canillas,215000,55,1,1,Second hand / Good state,0,0,0,0,0,444277,4479255
742692724875950216,Las Tablas,240000,65,1,1,Second hand / Good state,0,0,0,1,1,442630,4484829
9223372036854775807,Guindalera,506000,160,5,2,Second hand / Good state,0,0,0,0,1,443825,4476756
2767769736376305223,Malasaña-Universidad,279000,85,4,1,Second hand / Good state,0,0,0,0,1,439854,4475570
967155881203526387,Las Tablas,512000,100,2,2,Second hand / Good state,0,1,0,1,1,442969,4483444
9223372036854775807,Chopera,440000,130,3,3,Second hand / Good state,0,0,0,0,1,440946,4471992
9223372036854775807,Estrella,492000,145,4,2,Second hand / Needs reformation,0,0,0,0,1,443161,4473287
9223372036854775807,Goya,469000,75,1,1,Second hand / Good state,0,0,0,0,1,442410,4474937
6086174198865876777,Los Cármenes,169000,85,4,2,Second hand / Good state,0,0,0,0,1,437054,4471833
3777938677120989467,Buena Vista,171000,65,1,1,New development,0,0,0,1,1,435623,4468792
7900434881065816244,Almagro,1324000,215,3,3,Second hand / Good state,0,0,0,0,1,441278,4475587
9223372036854775807,Abrantes,308000,110,3,2,Second hand / Good state,0,0,0,1,1,438423,4469565
447847573840648318,Trafalgar,341000,70,2,1,Second hand / Good state,0,0,0,0,1,440759,4475673
3090264259232423304,Delicias,271000,65,1,1,Second hand / Good state,0,0,0,1,1,442180,4471935
5390270075059948902,Pueblo Nuevo,177000,60,2,1,Second hand / Good state,0,0,0,0,1,446511,4475228
9223372036854775807,San Diego,124000,75,3,1,Second hand / Good state,0,0,0,0,0,443446,4471106
5142768046823217100,Peñagrande,343000,100,3,2,Second hand / Good state,0,0,0,0,1,439086,4480860
9223372036854775807,Arapiles,1208000,275,4,3,Second hand / Good state,0,0,0,1,1,439822,4475913
3855550661307823229,Valdeacederas,204000,55,1,1,Second hand / Good state,0,0,0,0,1,440521,4479504
9223372036854775807,Puerta Bonita,104000,120,4,2,Second hand / Good state,0,0,0,0,1,437472,4469849
1554814877582208717,Acacias,144000,35,2,1,Second hand / Good state,0,0,0,0,1,440249,4472904
398076160152733493,San Isidro,149000,60,0,1,Second hand / Good state,1,0,0,0,0,438149,4471376
9223372036854775807,Campo de las Naciones-Corralejos,379000,195,2,2,Second hand / Good state,0,1,0,1,1,449639,4479459
3736966114116901073,Castellana,734000,135,3,2,Second hand / Good state,0,0,0,0,1,442302,4475624
3363733065976076416,Ciudad Jardín,262000,85,1,1,Second hand / Good state,0,0,1,0,1,442716,4477487
9223372036854775807,Cuzco-Castillejos,862000,220,5,4,Second hand / Needs reformation,0,0,0,0,1,441264,4479049
4952531074127615453,Fuente del Berro,655000,155,4,2,Second hand / Good state,0,0,0,0,1,443426,4475226
2816488652008566035,Niño Jesús,386000,100,3,1,Second hand / Needs reformation,0,0,0,0,1,443166,4474210
2452785740647127428,Casco Histórico de Vallecas,134000,80,3,1,Second hand / Good state,0,0,0,0,0,446817,4469916
9223372036854775807,Vista Alegre,91000,55,2,1,Second hand / Good state,0,0,0,0,0,437088,4470999
5374378229431020021,Puerta Bonita,146000,80,3,1,Second hand / Good state,0,0,0,0,0,437943,4470563
2323772187050183020,Delicias,254000,65,2,1,Second hand / Needs reformation,0,0,0,0,1,440832,4472187
9223372036854775807,Argüelles,858000,235,4,2,Second hand / Good state,0,0,0,0,1,439405,4475330
9223372036854775807,Aravaca,936000,165,4,4,New development,0,1,1,1,1,432572,4479348
4161499368500733058,Puerta Bonita,239000,95,2,1,Second hand / Good state,0,1,0,0,1,437753,4470615
8166116465461529829,Puerta del Ángel,166000,70,3,1,Second hand / Good state,0,0,0,0,1,438302,4473501
9223372036854775807,Huertas-Cortes,433000,80,2,1,Second hand / Good state,0,0,0,0,1,440944,4473554
5372384006572646289,Guindalera,290000,60,2,1,Second hand / Needs reformation,0,0,0,0,1,443025,4476145
7156558019088855461,Lavapiés-Embajadores,205000,40,2,1,Second hand / Good state,0,0,0,0,1,440706,4473465
4856752321399432435,Ensanche de Vallecas - La Gavia,163000,65,2,1,Second hand / Good state,0,0,0,0,1,446775,4469410
1997019390527777468,Berruguete,257000,70,2,1,Second hand / Good state,0,0,0,0,1,440294,4479212
9223372036854775807,Nueva España,940000,240,5,3,Second hand / Good state,0,0,0,0,1,443407,4479319
8498204268952312879,Huertas-Cortes,346000,90,3,1,Second hand / Good state,0,0,0,0,1,441081,4473703
9223372036854775807,Puerta del Ángel,169000,80,2,2,Second hand / Good state,0,0,0,0,1,437392,4472935
5998239395413746532,Arapiles,374000,70,3,1,Second hand / Needs reformation,0,0,0,0,1,440184,4476299
9223372036854775807,Ciudad Jardín,438000,100,4,2,Second hand / Good state,0,0,0,0,1,442884,4477723
9223372036854775807,Lista,485000,80,2,1,Second hand / Good state,0,0,0,0,1,442604,4475569
9223372036854775807,Valdeacederas,74000,35,2,1,Second hand / Needs reformation,0,0,0,0,0,440574,4479769
9223372036854775807,Valdeacederas,454000,150,2,2,Second hand / Good state,0,1,0,0,1,440263,4479461
9223372036854775807,Casa de Campo,193000,80,3,1,Second hand / Good state,0,0,0,0,1,436058,4473252
3007598287767380644,Pinar del Rey,269000,85,3,1,Second hand / Unknown,0,0,0,1,1,445130,4480096
9223372036854775807,Quintana,249000,70,2,1,Second hand / Good state,0,0,0,0,1,444908,4476060
9223372036854775807,Pacífico,530000,145,4,2,Second hand / Good state,0,1,0,0,1,442724,4473123
9223372036854775807,Bellas Vistas,361000,95,4,1,Second hand / Good state,0,0,0,0,0,440344,4478297
9223372036854775807,Valdebebas - Valdefuentes,601000,180,4,3,New development,0,0,0,1,1,448451,4482498
9223372036854775807,Lavapiés-Embajadores,288000,70,3,1,Second hand / Good state,0,0,0,0,0,440167,4473496
185255137961188711,Pueblo Nuevo,186000,85,4,1,Second hand / Unknown,0,0,0,0,0,445823,4476150
9223372036854775807,Delicias,666000,140,4,3,New development,0,0,0,1,1,442047,4472324
9223372036854775807,Chueca-Justicia,179000,35,0,1,Second hand / Good state,1,0,0,0,0,441130,4474946
9223372036854775807,Simancas,203000,65,1,1,Second hand / Unknown,0,0,0,0,1,447204,4476636
4705918373157125370,Goya,754000,75,2,2,Second hand / Good state,0,0,0,1,1,442540,4475434
9183759949535422920,Recoletos,415000,40,0,1,Second hand / Good state,1,0,0,0,1,441729,4475476
6871995332282797530,Guindalera,340000,70,2,1,Second hand / Good state,0,0,0,0,1,442632,4476516
8632943539082022466,Jerónimos,1480000,150,3,3,Second hand / Good state,0,0,0,0,1,441546,4473328
8843360399342816097,Rejas,322000,100,2,2,Second hand / Good state,0,0,0,1,1,451126,4476978
2953946896068278637,Lista,414000,65,2,2,Second hand / Good state,0,0,0,0,1,442550,4475767
4720995647920491657,Campo de las Naciones-Corralejos,448000,125,3,2,Second hand / Good state,0,0,0,1,1,450269,4479803
9223372036854775807,Puerta Bonita,64000,50,2,1,Second hand / Needs reformation,0,0,0,0,0,437895,4470587
9223372036854775807,Entrevías,129000,90,3,1,Second hand / Good state,0,0,0,0,0,443716,4469946
9223372036854775807,Chopera,310000,75,2,1,Second hand / Good state,0,0,0,0,1,440601,4471783
3944118495291213082,Lavapiés-Embajadores,454000,80,2,1,New development,0,0,0,1,1,440503,4473241
9223372036854775807,Vallehermoso,258000,45,1,1,Second hand / Good state,0,1,1,0,1,439964,4476859
5423738737798788345,Lavapiés-Embajadores,235000,55,1,1,Second hand / Good state,0,0,0,0,0,440105,4473206
9223372036854775807,Gaztambide,555000,110,3,2,Second hand / Good state,0,0,0,0,1,439642,4476609
9223372036854775807,Imperial,177000,55,1,1,Second hand / Good state,0,0,0,0,0,439310,4473248
9223372036854775807,Puerta del Ángel,185000,45,2,1,Second hand / Good state,0,0,0,0,0,438088,4473905
9223372036854775807,Portazgo,173000,150,3,2,Second hand / Good state,0,0,1,0,0,444914,4471264
4891909578892705793,Nuevos Ministerios-Ríos Rosas,1476000,250,4,4,Second hand / Unknown,0,0,0,0,1,441060,4476741
9223372036854775807,Arapiles,187000,35,0,1,Second hand / Good state,1,0,0,0,1,439727,4475864
9223372036854775807,San Andrés,76000,55,2,1,Second hand / Good state,0,0,0,0,0,440137,4466237
3024626339738210788,Gaztambide,639000,185,4,2,Second hand / Needs reformation,0,0,0,0,1,439229,4476155
9223372036854775807,Ensanche de Vallecas - La Gavia,209000,70,1,1,Second hand / Good state,0,0,0,1,1,448407,4469551
138998265132202211,San Isidro,97000,85,3,1,Second hand / Unknown,0,0,0,0,0,437633,4471898
9223372036854775807,Ventas,166000,65,2,1,Second hand / Good state,0,0,0,0,0,444999,4475943
6387308357215334422,Goya,1135000,175,3,4,Second hand / Good state,0,0,0,0,1,442691,4474899
9223372036854775807,Huertas-Cortes,275000,50,1,1,Second hand / Good state,0,0,0,0,0,441078,4473880
9223372036854775807,Canillejas,128000,75,3,1,Second hand / Good state,0,0,0,0,0,448212,4476515
9223372036854775807,Recoletos,2340000,275,4,5,Second hand / Good state,0,0,0,0,1,441876,4474830
9223372036854775807,Lavapiés-Embajadores,203000,40,2,1,Second hand / Good state,0,0,0,0,0,440997,4473321
9223372036854775807,Canillas,768000,135,3,2,Second hand / Good state,0,1,1,0,1,444858,4479493
9223372036854775807,Nueva España,396000,40,1,1,Second hand / Good state,0,0,0,1,1,442464,4478906
9223372036854775807,Ventilla-Almenara,189000,110,4,2,Second hand / Good state,0,0,0,0,0,441100,4479741
4850076944711110658,Tres Olivos - Valverde,258000,55,1,1,Second hand / Good state,0,0,0,0,0,441620,4483368
9223372036854775807,Chueca-Justicia,939000,220,5,2,Second hand / Good state,0,0,0,0,0,440983,4475109
4752552697889738449,Canillejas,162000,75,3,1,Second hand / Needs reformation,0,0,0,0,0,448493,4476917
4771825883870269901,Palomeras sureste,352000,140,4,2,Second hand / Good state,0,0,0,1,1,446546,4470390
2947273334112944534,Media Legua,155000,70,2,1,Second hand / Good state,0,0,0,0,1,443976,4473885
5982460145740454779,Lavapiés-Embajadores,850000,260,5,1,Second hand / Needs reformation,0,0,0,0,0,440553,4473658
9223372036854775807,Palomeras Bajas,136000,75,3,1,Second hand / Good state,0,0,0,0,1,444384,4470523
9223372036854775807,Valdebernardo - Valderribas,336000,105,4,2,Second hand / Good state,0,0,0,1,1,448700,4472161
1096471099007298196,Argüelles,1400000,325,7,3,Second hand / Needs reformation,0,0,0,0,1,439012,4475733
9223372036854775807,Lista,337000,45,1,1,Second hand / Good state,0,0,0,0,1,442737,4476084
6850212950213633404,San Diego,97000,35,2,1,Second hand / Good state,0,0,0,0,1,443200,4471991
6556572431317544150,Palacio,192000,50,1,1,Second hand / Good state,0,0,0,0,0,439159,4473540
4812838161940169011,Niño Jesús,462000,110,4,2,Second hand / Good state,0,0,0,0,1,442975,4474137
9159052928655415126,Arapiles,249000,50,2,1,Second hand / Good state,0,0,0,0,1,439738,4476503
9223372036854775807,San Isidro,89000,50,2,1,Second hand / Good state,0,0,0,0,0,437552,4471869
4979291894523260585,Gaztambide,599000,125,3,2,Second hand / Needs reformation,0,0,0,0,1,439315,4475875
9223372036854775807,Nuevos Ministerios-Ríos Rosas,649000,155,3,3,Second hand / Good state,0,0,0,0,1,440897,4476828
9223372036854775807,Nueva España,840000,200,2,2,Second hand / Good state,0,1,0,0,1,441894,4479436
6525713138025261045,Lavapiés-Embajadores,605000,70,2,2,Second hand / Good state,0,1,0,0,0,440147,4473586
6864344210826141274,Bernabéu-Hispanoamérica,435000,95,2,2,Second hand / Good state,0,1,0,0,1,442519,4478770
4079492035380380934,Gaztambide,622000,115,3,2,Second hand / Needs reformation,0,0,0,0,1,439220,4476651
9223372036854775807,Argüelles,365000,40,0,1,Second hand / Good state,1,0,0,0,1,439376,4475440
6926261852162404474,San Diego,57000,45,1,1,Second hand / Needs reformation,0,0,0,0,0,443008,4471539
9223372036854775807,Gaztambide,255000,45,1,1,Second hand / Good state,0,0,0,0,1,439598,4476395
345261821399235396,Pinar del Rey,227000,85,3,1,Second hand / Good state,0,0,0,0,1,446025,4480395
9223372036854775807,Estrella,614000,180,4,3,Second hand / Good state,0,0,0,0,1,443692,4473759
1315342140340358918,Águilas,136000,80,3,1,Second hand / Good state,0,0,0,0,0,433809,4470777
9223372036854775807,Palomeras sureste,222000,85,2,1,Second hand / Good state,0,0,0,1,1,446437,4470393
8468077828600832794,Fuente del Berro,325000,75,2,2,Second hand / Good state,0,0,0,0,0,443275,4474969
9223372036854775807,Cuatro Caminos,332000,90,3,1,Second hand / Good state,0,0,0,0,1,440791,4478685
9223372036854775807,Guindalera,452000,95,2,2,New development,0,0,0,1,1,443207,4476326
9223372036854775807,Almagro,1227000,235,4,2,Second hand / Unknown,0,0,0,0,1,441336,4475376
9223372036854775807,Lavapiés-Embajadores,369000,80,3,1,Second hand / Good state,0,0,0,0,1,440257,4473414
9223372036854775807,Puerta del Ángel,145000,65,2,2,Second hand / Good state,0,0,0,0,1,437651,4473324
9223372036854775807,Arapiles,216000,25,0,1,Second hand / Good state,1,0,0,0,1,439939,4475786
5224815202700794440,Ensanche de Vallecas - La Gavia,170000,50,1,1,Second hand / Good state,0,0,0,1,1,449478,4467610
3391488316882094720,Las Tablas,552000,135,4,2,Second hand / Good state,0,0,0,1,1,443400,4484710
9223372036854775807,Mirasierra,383000,105,4,2,Second hand / Good state,0,0,0,1,1,439961,4482979
9223372036854775807,El Viso,1647000,255,5,3,Second hand / Good state,0,0,0,0,1,441526,4478030
1994026869235497751,Delicias,628000,130,4,3,New development,0,0,0,1,1,442041,4471777
9223372036854775807,Pilar,285000,65,2,1,Second hand / Good state,0,0,0,0,1,439483,4481179
9223372036854775807,Recoletos,1927000,210,3,3,Second hand / Needs reformation,0,1,0,0,1,441958,4475081
3026485046997050726,Pueblo Nuevo,208000,80,2,1,Second hand / Good state,0,0,0,0,1,445198,4476059
6064031307655862311,Palomeras sureste,157000,85,2,2,Second hand / Good state,0,0,0,1,1,446243,4470211
9223372036854775807,Lista,695000,130,2,2,Second hand / Good state,0,1,0,0,1,442726,4476161
2128541350104621550,Vista Alegre,159000,50,1,1,Second hand / Good state,0,1,0,0,1,436926,4470904
9223372036854775807,San Isidro,177000,80,3,1,Second hand / Good state,0,0,0,0,0,437832,4472121
7339018232528696482,Gaztambide,436000,100,2,1,Second hand / Needs reformation,0,0,0,0,0,439285,4476098
9223372036854775807,Prosperidad,302000,70,2,1,Second hand / Good state,0,0,0,0,1,443273,4477691
9223372036854775807,Prosperidad,288000,75,2,2,Second hand / Good state,0,0,0,0,0,443806,4477587
4953013238423106732,Palacio,259000,60,1,1,Second hand / Good state,0,0,0,0,1,439365,4473401
9223372036854775807,Peñagrande,247000,70,3,2,Second hand / Good state,0,0,0,0,0,438510,4481122
9223372036854775807,Palacio,213000,55,3,1,Second hand / Needs reformation,0,0,0,0,1,439551,4473645
9223372036854775807,Valdezarza,266000,80,3,1,Second hand / Good state,0,0,0,0,1,439004,4479949
9223372036854775807,Costillares,488000,100,2,2,New development,0,0,0,1,1,443412,4479958
9223372036854775807,Rejas,165000,50,1,1,Second hand / Unknown,0,0,0,0,0,449120,4477480
9223372036854775807,Berruguete,71000,45,3,1,Second hand / Good state,0,0,0,0,0,440351,4478667
5943019861955206599,San Cristóbal,66000,60,3,1,Second hand / Good state,0,0,0,0,0,441574,4465872
8575176918776937664,Lucero,118000,55,2,1,Second hand / Needs reformation,0,0,0,0,0,436986,4472992
9223372036854775807,Valdezarza,225000,55,2,1,Second hand / Good state,0,0,0,0,1,439752,4479584
9223372036854775807,Aluche,317000,120,4,2,Second hand / Good state,0,0,0,0,1,435247,4471315
4612695129564389008,Malasaña-Universidad,474000,120,2,2,Second hand / Good state,0,0,0,0,1,440408,4475567
9223372036854775807,Estrella,408000,90,2,2,Second hand / Good state,0,0,0,0,1,443580,4473552
9223372036854775807,Imperial,148000,35,0,0,Second hand / Needs reformation,0,0,0,0,0,439599,4473081
8793643932272421152,Cuatro Caminos,109000,55,1,1,Second hand / Needs reformation,0,0,0,0,0,440697,4477996
9223372036854775807,Prosperidad,343000,70,2,1,Second hand / Good state,0,0,0,0,0,443207,4477136
9223372036854775807,Lista,185000,35,1,1,Second hand / Good state,0,0,0,0,1,442547,4475645
9223372036854775807,Lista,726000,165,4,2,Second hand / Needs reformation,0,0,0,0,1,443008,4475913
9223372036854775807,Rosas,382000,105,3,2,Second hand / Good state,0,0,0,1,1,448241,4474882
9223372036854775807,Guindalera,623000,170,4,3,Second hand / Needs reformation,0,0,0,0,1,443927,4477053
6668445272779595283,Prosperidad,772000,145,3,2,Second hand / Good state,0,0,0,1,1,443701,4477933
4738724046544800673,Puerta del Ángel,128000,70,2,1,Second hand / Good state,0,0,0,0,0,437343,4472930
1779761066329243003,Lavapiés-Embajadores,206000,50,1,1,Second hand / Good state,0,0,1,0,0,440516,4473299
9223372036854775807,Nuevos Ministerios-Ríos Rosas,828000,115,3,2,Second hand / Unknown,0,0,0,0,1,440707,4476986
